Unnamed: 0,title,judgement (manual),Content
20,3c-patch-for-treating-diabetic-foot-ulcers-pdf-64372180069573.pdf,Not Recommend, C Patch is not recommended as a cost-saving option for diabetic foot ulcers 
65,ambulight-pdt-for-the-treatment-of-nonmelanoma-skin-cancer-pdf-1788115790293.pdf,Not Recommend, Ambulight PDT offers a means of delivering photodynamic therapy PDT for patients with small non-melanoma skin cancers in an ambulatory care setting including patients homes and its use may be associated with less pain than conventional PDT However the case for routine use of Ambulight PDT in achieving a more efficient service is not supported by the evidence submitted by the manufacturer The quantity of clinical evidence on its use is limited and the cost consequences of adoption when compared with conventional PDT ranged from a saving per patient of  to a cost increase of  NHS organisations should take this into account alongside other features of the technology when considering whether to use Ambulight PDT Ambulight PDT for the treatment of non-melanoma skin cancer MTG
33,leukomed-sorbact-for-preventing-surgical-site-infection-pdf-64372117923781.pdf,Not Recommend, Evidence supports the case for adopting Leukomed Sorbact for closed surgical wounds after caesarean section and vascular surgery  Leukomed Sorbact should be considered as an option for people with wounds that are expected to have low to moderate exudate after caesarean section and vascular surgery It should be used as part of usual measures to help reduce the risk of surgical site infection More evidence is needed on the use of Leukomed Sorbact on wounds after other types of surgery  Cost modelling shows that the reduced rate of surgical site infection with Leukomed Sorbact compared with standard surgical dressings leads to savings of   per person after caesarean section   per person after vascular surgery By adopting this technology the NHS may save up to  million per year for caesarean section and up to  million per year for vascular surgery Cost savings are expected because fewer people will need to stay in hospital for treatment of surgical site infection For more details see the NICE resource impact report 
19,prontosan-for-treating-acute-and-chronic-wounds-pdf-64372181749189.pdf,Not Recommend, More research is recommended on Prontosan for treating chronic wounds There is some evidence that it is clinically effective but not enough to recommend it for routine use Prontosan is not recommended for treating acute wounds because the evidence is very limited  Research should be a randomised controlled trial on the effectiveness of Prontosan compared with saline or water in chronic wounds of different types Wounds should be followed up until completely healed and time to healing should be measured Find out more details in further research 
24,synergo-for-nonmuscleinvasive-bladder-cancer-pdf-64372171671493.pdf,Not Recommend, Synergo shows promise for high-risk non-muscle-invasive bladder cancer that has not responded to or has recurred after Bacillus Calmette-Guerin BCG treatment or when people cannot or do not want to have BCG treatment However there is not enough good-quality evidence to support the case for routine adoption Synergo should only be used with special arrangements as outlined by NICE interventional procedures guidance on intravesical microwave hyperthermia and chemotherapy for non-muscle-invasive bladder cancer  Research is recommended on the benefits and costs of Synergo for high-risk non-muscle-invasive bladder cancer This is to address the uncertainty in the evidence base and to inform a revised cost analysis to assess the impact of Synergo on cystectomy rates or repeat cystoscopies in people who cannot have a cystectomy Because randomised controlled trials are challenging in this patient population further collection and analysis of observational and NHS audit data is recommended Find out details of required research outcomes in the section on further research in this guidance 
38,axonics-sacral-neuromodulation-system-for-treating-refractory-overactive-bladder-pdf-64372109525701.pdf,Recommend, Evidence supports the case for adopting Axonics sacral neuromodulation SNM system for treating refractory overactive bladder in the NHS Axonics SNM system improves symptoms and quality of life It also has a longer battery life than the non-rechargeable system used in NHS clinical practice  Axonics SNM system should be considered as an option for people with refractory overactive bladder that is when conservative treatment or treatment with medicine has not worked in line with NICEs guidelines on urinary incontinence and pelvic organ prolapse and lower urinary tract symptoms Axonics SNM system is small and does not need to be removed for most types of MRI scans so it may be useful for people with a low body mass index BMI or when an MRI is likely  Cost modelling estimates that over  years Axonics SNM system is cost saving compared with the non-rechargeable system by about  per person Cost savings are estimated to begin  years after implant This is because the device needs to be replaced less frequently than the non-rechargeable system assuming Axonics has a life span of at least  years For more details see the NICE resource impact statement 
26,enduralife-powered-crtd-devices-for-treating-heart-failure-pdf-64371993632197.pdf,Recommend, The case for adopting ENDURALIFE-powered cardiac resynchronisation therapy-defibrillator CRT-D devices for treating heart failure is supported by the published evidence Extended battery life is of clinical and patient benefit and associated with fewer replacement procedures  ENDURALIFE-powered CRT-Ds should be considered as an option in people offered CRT-D devices in line with NICE technology appraisal guidance on implantable cardioverter defibrillators and cardiac resynchronisation therapy for arrhythmias and heart failure  Cost modelling was based on published data using predecessor devices and showed that the price and lifespan of the CRT-D have the greatest effect on overall treatment costs Assuming an average selling price of  across different devices using ENDURALIFE-powered CRT-Ds may save between  and  per patient using NHS tariff costs and between  and  per patient using NHS reference costs over  years through a reduction in the need for replacement procedures  This could save the NHS in England around  million in the first  years ENDURALIFE powered CRT-D devices for treating heart failure MTG
29,heartflow-ffrct-for-estimating-fractional-flow-reserve-from-coronary-ct-angiography-pdf-64371991952581.pdf,Recommend, The case for adopting HeartFlow FFRCT for estimating fractional flow reserve from coronary CT angiography CCTA is supported by the evidence The technology is non-invasive and safe and has a high level of diagnostic accuracy  HeartFlow FFRCT should be considered as an option for patients with stable recent-onset chest pain who are offered CCTA in line with the NICE guideline on chest pain Using HeartFlow FFRCT may avoid the need for invasive coronary angiography and revascularisation For correct use HeartFlow FFRCT requires access to -slice or above CCTA facilities  Based on the current evidence and assuming there is access to appropriate CCTA facilities using HeartFlow FFRCT may lead to cost savings of  per patient  By adopting this technology the NHS in England may save a minimum of  million by  through avoiding invasive investigation and treatment  HeartFlow FFRCT for estimating fractional flow reserve from coronary CT angiographyMTG
1,kardiamobile-for-detecting-atrial-fibrillation-pdf-64372176710341.pdf,Recommend, KardiaMobile is recommended as an option for detecting atrial fibrillation AF for people with suspected paroxysmal AF who present with symptoms such as palpitations and are referred for ambulatory electrocardiogram ECG monitoring by a clinician 
4,memokath-051-ureter-stent-for-ureteric-obstruction-pdf-64372238856133.pdf,Recommend, Memokath  Ureter stent is recommended as an option to manage ureteric obstruction in adults with  malignant ureteric obstruction and anticipated medium- or long-term survival after adjunctive therapy  benign ureteric obstruction who cannot have or do not want reconstructive surgery  any type of ureteric obstruction and they cannot have or do not want a double-J stent or when repeat procedures are particularly high risk  Data should be collected prospectively on ureteric stent procedures including details of patient selection choice of stent placement procedure and stent used and adverse events such as stent migration and encrustation rates 
46,pico-negative-pressure-wound-dressings-for-closed-surgical-incisions-pdf-64372054098373.pdf,Recommend, Evidence supports the case for adopting PICO negative pressure wound dressings for closed surgical incisions in the NHS They are associated with fewer surgical site infections and seromas compared with standard wound dressings  PICO negative pressure wound dressings should be considered as an option for closed surgical incisions in people who are at high risk of developing surgical site infections Risk factors for surgical site infections are described in section   Cost modelling suggests that PICO negative pressure wound dressings provide extra clinical benefits at a similar overall cost compared with standard wound dressings 
27,plus-sutures-for-preventing-surgical-site-infection-pdf-64372124642245.pdf,Recommend, Evidence supports the case for adopting Plus Sutures as part of a bundle of care for preventing surgical site infection in the NHS for people who need wound closure after a surgical procedure when absorbable sutures are an appropriate option  Cost modelling shows that Plus Sutures is cost saving compared with non-triclosan absorbable sutures by an average of  per patient These savings are from reduced surgical site infections Cost savings will vary by surgery type and baseline risk of surgical site infection For more information on the cost impact to the NHS please see the NICE resource impact summary report 
11,securacath-for-securing-percutaneous-catheters-pdf-64371995311813.pdf,Recommend, SecurAcath is recommended as a cost-saving option for securing peripherally inserted central catheters PICCs with an anticipated medium- to long-term dwell time 
59,spectra-optia-for-automatic-red-blood-cell-exchange-in-people-with-sickle-cell-disease-pdf-64371941564101.pdf,Recommend, The case for adopting Spectra Optia for automated red blood cell exchange in people with sickle cell disease who need regular transfusions is supported by the evidence Spectra Optia is faster to use and needs to be done less often than manual red blood cell exchange  NICE recommends collaborative data collection to generate further clinical evidence on some outcomes of treatment with Spectra Optia In particular there is a need for long-term data on how automated and manual exchange affect iron overload status and the subsequent need for chelation therapy  Based on current evidence and expert advice on the anticipated benefits of the technology when used in people with iron overload cost modelling shows that in most cases using Spectra Optia is cost saving compared with manual red blood cell exchange or top-up transfusion The savings depend on the iron overload status of the person being treated and are more likely to be achieved if devices already owned by the NHS can be used to treat sickle cell disease The estimated cost saving for adopting Spectra Optia is  per person per year which has the potential to save the NHS in England  million each year Spectra Optia for automatic red blood cell exchange in people with sickle cell diseaseMTG
62,the-geko-device-for-reducing-the-risk-of-venous-thromboembolism-pdf-64371882777541.pdf,Recommend, The case for adopting the geko device is supported for use in people who have a high risk of venous thromboembolism and for whom other mechanical and pharmacological methods of prophylaxis are impractical or contraindicated Although clinical evidence is limited the case is supported because of the plausibility that the geko device may reduce the high risk of venous thromboembolism in patients who cannot use other forms of prophylaxis and the low risk of the device causing harm  In patients at high risk of venous thromboembolism who would otherwise receive no prophylaxis using the geko device is estimated to be cost saving The amount saved depends on the level of reduction in relative risk of deep vein thrombosis associated with geko treatment compared with no treatment There is no direct evidence on the size of this reduction but when values obtained with other mechanical methods of prophylaxis were used in cost modelling the estimated cost saving for the geko device in patients at high risk of venous thromboembolism compared with no prophylaxis was  per patient The geko device for reducing the risk of venous thromboembolism MTG
35,the-plasma-system-for-transurethral-resection-and-haemostasis-of-the-prostate-pdf-64372114564549.pdf,Recommend, The evidence supports the case for adopting the PLASMA system for bipolar transurethral resection and haemostasis of the prostate Clinical outcomes are comparable with monopolar transurethral resection of the prostate mTURP but PLASMA avoids the risk of transurethral resection syndrome and reduces the need for blood transfusion and the length of hospital stay  The PLASMA system for prostate resection and haemostasis should be considered as an option for people with symptomatic benign prostatic hyperplasia when surgical intervention is indicated  Cost modelling estimates that the PLASMA system is cost saving by  per procedure compared with mTURP for hospitals that already use an Olympus platform and  for those that do not This assumes a reduced -day length of stay with PLASMA and that  of procedures need a second electrode for haemostasis Evidence suggests there are reduced readmissions with the PLASMA system compared with mTURP This would increase cost saving to  for hospitals that already use an Olympus platform and  for those that do not 
15,thopaz-portable-digital-system-for-managing-chest-drains-pdf-64372000350661.pdf,Recommend, The case for adopting Thopaz for managing chest drains is supported by the evidence Thopaz can reduce drainage time and length of stay in hospital and improves safety for people with chest drains Its use may also improve clinical decision-making through continuous objective monitoring of air leaks and fluid loss  Thopaz should be considered for people who need chest drainage after pulmonary resection or because of a pneumothorax The system can increase patient mobility because it is portable Staff find it more convenient and easier to use than conventional chest drains  Cost modelling indicates that Thopaz is cost saving compared with conventional chest drains in people after pulmonary resection The estimated saving is  per patient per hospital stay with savings mainly achieved through reduced length of stay  The resource impact assessment for this guidance shows that at a national level adopting Thopaz is expected to save around  million per year in England Thopaz portable digital system for managing chest drains MTG
30,urolift-for-treating-lower-urinary-tract-symptoms-of-benign-prostatic-hyperplasia-pdf-64372122962629.pdf,Recommend, Evidence supports the case for adopting the UroLift System for treating lower urinary tract symptoms of benign prostatic hyperplasia The UroLift System relieves lower urinary tract symptoms avoids risk to sexual function and improves quality of life  The UroLift System is a minimally invasive procedure which should be considered as an alternative to transurethral resection of the prostate TURP and holmium laser enucleation of the prostate HoLEP It can be done as a day-case or outpatient procedure for people aged  and older with a prostate volume between  and  ml  Cost modelling shows that the UroLift System is likely to be cost saving compared with standard treatments because of reduced length of stay and procedure time Over  years if done as a day-case procedure UroLift is estimated to save per person   compared with bipolar TURP   compared with monopolar TURP   compared with HoLEP Cost savings are uncertain compared with transurethral water vapour therapy using Rezum and when UroLift is used for treating an obstructive median lobe 
58,xpress-multi-sinus-dilation-system-for-treating-chronic-sinusitis-pdf-64371988593349.pdf,Recommend, The case for adopting the XprESS multi-sinus dilation system for treating uncomplicated chronic sinusitis after medical treatment has failed is supported by the evidence Treatment with XprESS leads to a rapid and sustained improvement in chronic symptoms fewer acute episodes and improved quality of life which is comparable to functional endoscopic sinus surgery FESS  XprESS should be considered in patients with uncomplicated chronic sinusitis who do not have severe nasal polyposis In these patients XprESS works as well as FESS is associated with faster recovery times and can more often be done under local anaesthesia  Cost modelling indicates that XprESS is cost saving compared with FESS when treatment is done using local anaesthetic in an outpatient setting The estimated saving per patient is  assuming that  of treatments are done this way FESS takes  minutes and the device cost for XprESS is  By adopting this technology the NHS in England may save around  million a year by  Estimated savings are mainly achieved through the shift of treatment from operating theatre to outpatient setting XprESS multi sinus dilation system for treating chronic sinusitis MTG
10,ifuse-for-treating-chronic-sacroiliac-joint-pain-pdf-64372003709893.pdf,Recommend , iFuse implant system is recommended as an option for treating chronic sacroiliac joint pain  iFuse should be considered for use in people with a confirmed diagnosis of chronic sacroiliac joint pain based on clinical assessment and a positive response to a diagnostic injection of local anaesthetic in the sacroiliac joint and whose pain is inadequately controlled by non-surgical management 
32,alphastim-aid-for-anxiety-disorders-pdf-64372119603397.pdf,Recommend With Restrictions (More Evidence), Alpha-Stim AID shows promise for managing anxiety disorders However there is not enough good-quality evidence to support the case for routine adoption  Research is recommended to address uncertainties about Alpha-Stim AIDs  short- and long-term efficacy  position in the care pathway for managing anxiety disorders and  resource impact This research should include  a study to better understand how Alpha-Stim AID affects brain function in people with anxiety disorders  a randomised controlled trial comparing Alpha-Stim AID with individual cognitive behavioural therapy CBT medication or both Find out details of the research recommended in section  
7,clearguard-hd-antimicrobial-barrier-caps-for-preventing-haemodialysis-catheterrelated-bloodstream-infections-pdf-64372173351109.pdf,Recommend With Restrictions (More Evidence), ClearGuard HD antimicrobial barrier caps are recommended as a cost-saving option for preventing catheter-related bloodstream infections in people with central venous catheters having haemodialysis  Data should be collected on any long-term effect of chlorhexidine exposure in particular in children 
23,clearguard-hd-antimicrobial-barrier-caps-for-preventing-haemodialysis-catheterrelated-bloodstream-infections-pdf-64372173351109.pdf,Recommend With Restrictions (More Evidence), ClearGuard HD antimicrobial barrier caps are recommended as a cost-saving option for preventing catheter-related bloodstream infections in people with central venous catheters having haemodialysis  Data should be collected on any long-term effect of chlorhexidine exposure in particular in children 
8,curos-for-preventing-infections-when-using-needleless-connectors-pdf-64372055777989.pdf,Recommend With Restrictions (More Evidence), Curos disinfecting cap shows promise for preventing infections when using needleless connectors but there is currently insufficient evidence to support the case for routine adoption in the NHS  Research is therefore recommended to address uncertainties about the clinical benefits of using Curos This research should  determine if Curos adds value to the standard bundle of care for preventing infections when using needleless connectors  explore the use of Curos in people at high risk of infection including those whose condition is managed in the community  clearly define the patient groups included and use consistent outcomes NICE will facilitate this research in collaboration with the company clinical and academic partners and will update this guidance if or when substantive new evidence becomes available 
